entry_id,title_normalized,title_display,media_type,franchise,season_set,part_volume,disc_start,disc_end,disc_count,storage_type,container_name,slot_start,slot_end,location_detail,format,label_raw,title_match_status,tmdb_id,tmdb_media_type,poster_path,release_year,match_confidence,notes,,
C-030-035,babylon_5,Babylon 5,tv,Babylon 5,1,,1,6,6,discgear,Container C,30,35,,disc,"Babylon 5 #1, D-1 through D-6",unmatched,,,,,,Grouped contiguous season set,,
C-036-041,babylon_5,Babylon 5,tv,Babylon 5,2,,1,6,6,discgear,Container C,36,41,,disc,"Babylon 5 #2, D-1 through D-6",unmatched,,,,,,Grouped contiguous season set,,
C-042-046,babylon_5,Babylon 5,tv,Babylon 5,3,,1,5,5,discgear,Container C,42,46,,disc,"Babylon 5 #3, D-1 through D-5",unmatched,,,,,,Slot 47 not visible in provided batch,,
C-048-053,babylon_5,Babylon 5,tv,Babylon 5,4,,1,6,6,discgear,Container C,48,53,,disc,"Babylon 5 #4, D-1 through D-6",unmatched,,,,,,Grouped contiguous season set,,
C-054-059,babylon_5,Babylon 5,tv,Babylon 5,5,,1,6,6,discgear,Container C,54,59,,disc,"Babylon 5 #5, D-1 through D-6",unmatched,,,,,,Grouped contiguous season set,,
C-060-064,babylon_5_movie_set,Babylon 5,tv,Babylon 5,Movies,,1,5,5,discgear,Container C,60,64,,disc,"Babylon 5 movie, D-1 through D-5",unmatched,,,,,,Movie/special disc grouping,,
C-065-069,battlestar_galactica,Battlestar Galactica,tv,Battlestar Galactica,1,,1,5,5,discgear,Container C,65,69,,disc,"Btl* Glctica #1, D-1 through D-5",unmatched,,,,,,Normalized abbreviated label,,
C-070-072,battlestar_galactica,Battlestar Galactica,tv,Battlestar Galactica,2,,1,3,3,discgear,Container C,70,72,,disc,"Btl* Glctica #2.0, D-1 through D-3",unmatched,,,,,,Likely season/set 2.0,,
C-073-075,battlestar_galactica,Battlestar Galactica,tv,Battlestar Galactica,2.5,,1,3,3,discgear,Container C,73,75,,disc,"Btl* Glctica #2.5, D-1 through D-3",unmatched,,,,,,Likely season/set 2.5,,
C-076-081,battlestar_galactica,Battlestar Galactica,tv,Battlestar Galactica,3,,1,6,6,discgear,Container C,76,81,,disc,"Btl* Glctica #3, D-1 through D-6",unmatched,,,,,,Grouped contiguous season set,,
C-082-085,battlestar_galactica,Battlestar Galactica,tv,Battlestar Galactica,4,,1,4,4,discgear,Container C,82,85,,disc,"Btl* Glctica #4, D-1 through D-4",unmatched,,,,,,Only discs 1-4 visible in provided batch,,
C-086-088,the_dresden_files,The Dresden Files,tv,The Dresden Files,1,,1,3,3,discgear,Container C,86,88,,disc,"Dresden Files, D-1 through D-3",unmatched,,,,,,Season/set inferred as single series set,,
C-089-095,fringe,Fringe,tv,Fringe,1,,1,7,7,discgear,Container C,89,95,,disc,"Fringe #1, D-1 through D-7",unmatched,,,,,,Grouped contiguous season set,,
