entry_id,title_normalized,title_display,media_type,franchise,season_set,part_volume,disc_start,disc_end,disc_count,storage_type,container_name,slot_start,slot_end,location_detail,format,label_raw,title_match_status,tmdb_id,tmdb_media_type,poster_path,release_year,match_confidence,notes
INV-0001,babylon 5 season 1,Babylon 5: Season 1,tv,Babylon 5,1,,30,35,6,discgear,Container C,30,35,,,,unmatched,,,,,,
INV-0002,babylon 5 season 2,Babylon 5: Season 2,tv,Babylon 5,2,,36,41,6,discgear,Container C,36,41,,,,unmatched,,,,,,
INV-0003,babylon 5 season 3,Babylon 5: Season 3,tv,Babylon 5,3,,42,46,5,discgear,Container C,42,46,,,,unmatched,,,,,,
INV-0004,babylon 5 season 4,Babylon 5: Season 4,tv,Babylon 5,4,,48,53,6,discgear,Container C,48,53,,,,unmatched,,,,,,
INV-0005,babylon 5 season 5,Babylon 5: Season 5,tv,Babylon 5,5,,54,59,6,discgear,Container C,54,59,,,,unmatched,,,,,,
INV-0006,babylon 5 movie set,Babylon 5: Movie Set,tv,Babylon 5,,,60,64,5,discgear,Container C,60,64,,,,unmatched,,,,,,
INV-0007,babylon 5 the lost tales,Babylon 5: The Lost Tales,tv,Babylon 5,,,96,96,1,discgear,Container C,96,96,,,,unmatched,,,,,,
INV-0008,babylon 5 the legend of the rangers,Babylon 5: The Legend of the Rangers,tv,Babylon 5,,,97,97,1,discgear,Container C,97,97,,,,unmatched,,,,,,
INV-0009,babylon 5 the gathering,Babylon 5: The Gathering,tv,Babylon 5,,,100,100,1,discgear,Container C,100,100,,,,unmatched,,,,,,
INV-0010,battlestar galactica season 1,Battlestar Galactica: Season 1,tv,Battlestar Galactica,1,,65,69,5,discgear,Container C,65,69,,,,unmatched,,,,,,
INV-0011,battlestar galactica season 2.0,Battlestar Galactica: Season 2.0,tv,Battlestar Galactica,2.0,,70,72,3,discgear,Container C,70,72,,,,unmatched,,,,,,
INV-0012,battlestar galactica season 2.5,Battlestar Galactica: Season 2.5,tv,Battlestar Galactica,2.5,,73,75,3,discgear,Container C,73,75,,,,unmatched,,,,,,
INV-0013,battlestar galactica season 3,Battlestar Galactica: Season 3,tv,Battlestar Galactica,3,,76,81,6,discgear,Container C,76,81,,,,unmatched,,,,,,
INV-0014,battlestar galactica season 4,Battlestar Galactica: Season 4,tv,Battlestar Galactica,4,,82,85,4,discgear,Container C,82,85,,,,unmatched,,,,,,
INV-0015,fringe season 1,Fringe: Season 1,tv,Fringe,1,,89,95,7,discgear,Container C,89,95,,,,unmatched,,,,,,
INV-0016,fringe season 2,Fringe: Season 2,tv,Fringe,2,,17,22,6,discgear,Container C,17,22,,,,unmatched,,,,,,
INV-0017,fringe season 3,Fringe: Season 3,tv,Fringe,3,,11,16,6,discgear,Container C,11,16,,,,unmatched,,,,,,
INV-0018,fringe season 4,Fringe: Season 4,tv,Fringe,4,,5,10,6,discgear,Container C,5,10,,,,unmatched,,,,,,
INV-0019,fringe season 5,Fringe: Season 5,tv,Fringe,5,,1,4,4,discgear,Container C,1,4,,,,unmatched,,,,,,
INV-0020,the dresden files season 1,The Dresden Files: Season 1,tv,The Dresden Files,1,,86,88,3,discgear,Container C,86,88,,,,unmatched,,,,,,
INV-0021,resident evil degeneration,Resident Evil: Degeneration,movie,,,,98,98,1,discgear,Container C,98,98,,,,unmatched,,,,,,
INV-0022,my blueberry nights,My Blueberry Nights,movie,,,,99,99,1,discgear,Container C,99,99,,,,unmatched,,,,,,
INV-0023,ghost town,Ghost Town,movie,,,,1,1,1,discgear,Container B,1,1,,,,unmatched,,,,,,
INV-0024,push,Push,movie,,,,2,2,1,discgear,Container B,2,2,,,,unmatched,,,,,,
INV-0025,horton hears a who,Horton Hears a Who!,movie,,,,3,3,1,discgear,Container B,3,3,,,,unmatched,,,,,,
INV-0026,the game plan,The Game Plan,movie,,,,4,4,1,discgear,Container B,4,4,,,,unmatched,,,,,,
INV-0027,monster house,Monster House,movie,,,,5,5,1,discgear,Container B,5,5,,,,unmatched,,,,,,
INV-0028,youve got mail,You've Got Mail,movie,,,,6,6,1,discgear,Container B,6,6,,,,unmatched,,,,,,
INV-0029,young guns,Young Guns,movie,Young Guns,,,7,7,1,discgear,Container B,7,7,,,,unmatched,,,,,,
INV-0030,young guns ii,Young Guns II,movie,Young Guns,,,8,8,1,discgear,Container B,8,8,,,,unmatched,,,,,,
INV-0031,world trade center,World Trade Center,movie,,,,9,9,1,discgear,Container B,9,9,,,,unmatched,,,,,,
INV-0032,wimbledon,Wimbledon,movie,,,,10,10,1,discgear,Container B,10,10,,,,unmatched,,,,,,
INV-0033,what dreams may come,What Dreams May Come,movie,,,,11,11,1,discgear,Container B,11,11,,,,unmatched,,,,,,
